Iteration	Equisetales_sigma2	Psilotales_sigma2	Ophioglossales_sigma2	Marattiales_sigma2	Osmundales_sigma2	Gleicheniales_sigma2	Hymenophyllales_sigma2	Schizaeales_sigma2	Salviniales_sigma2	Cyatheales_sigma2	Polypodiales_sigma2	Node_0_sigma2	Node_1_sigma2	Node_2_sigma2	Node_3_sigma2	Node_4_sigma2	Node_5_sigma2	Node_6_sigma2	Node_7_sigma2	Node_8_sigma2	Node_9_sigma2	Node_0_trait	Node_1_trait	Node_2_trait	Node_3_trait	Node_4_trait	Node_5_trait	Node_6_trait	Node_7_trait	Node_8_trait	Node_9_trait	ll
53	16704.74	17872.023	14414.594	13728.828	16396.178	15577.808	16058.343	12059.854	20509.182	15018.739	11477.398	21135.447	16668.95	14365.203	12551.199	10181.744	10629.091	19478.723	12491.243	13063.249	20458.371	327.26953	327.29358	356.5099	322.19357	322.58575	306.70605	306.44592	285.3579	250.96332	233.9297	-75.037674
54	17086.178	12450.782	10892.24	15691.35	17203.018	16548.066	16086.639	9166.528	12519.974	15607.95	15056.37	17819.4	10864.199	14694.648	16516.896	11289.785	16043.739	18718.898	16701.969	14295.545	18435.209	411.83932	398.157	410.28333	379.69748	369.37115	335.0884	331.40924	297.3975	250.03925	235.57594	-75.57749
55	11117.52	15805.793	16905.455	8740.45	9228.639	16125.791	15982.837	19929.07	14502.164	11028.068	13421.855	10710.116	18045.98	14949.875	16536.992	17227.594	9806.48	11169.977	14682.504	23827.807	9467.929	259.3352	285.48996	338.4005	291.88882	316.5843	302.7229	303.5041	277.69885	216.74599	210.21165	-75.86559
56	21787.422	10608.179	14562.715	11936.176	8823.094	15252.225	12638.185	12039.296	10509.276	7166.4165	14547.404	13876.121	15185.012	15647.595	12929.022	11431.551	21733.86	13323.579	21080.11	6338.361	8505.827	303.58838	322.78952	384.49066	324.93875	336.94876	299.00043	303.70447	248.67174	223.70616	214.03522	-76.272606
57	7843.591	18513.664	15280.979	16615.875	11506.484	14199.942	16831.037	18293.385	16518.55	19964.033	13269.535	16996.791	10535.588	12760.226	13865.169	6547.206	7901.642	12906.035	8862.206	25187.828	19964.547	352.5995	351.40695	371.3569	345.8777	346.0608	330.11945	324.84668	313.32834	247.89218	234.78912	-75.43146
58	16045.163	15796.3	14912.439	10595.985	21655.219	15415.2295	10503.735	10874.689	13034.912	12906.601	17064.91	14597.449	11189.35	14903.98	9069.884	10388.9795	19209.041	16920.955	21205.566	7348.134	15886.674	258.33682	272.42532	327.2116	274.38168	283.84338	275.74557	290.82657	245.43661	225.33305	215.02281	-75.16226
59	13196.377	16932.416	12911.267	17483.01	9147.352	8493.093	19307.096	17429.154	15663.331	15305.175	10649.83	11719.16	16939.41	10083.345	13771.144	16826.416	13660.158	11094.197	13372.104	13754.764	12100.775	379.6774	369.28134	380.8708	359.7198	352.7544	312.98492	299.0393	285.8675	244.9429	234.71103	-76.207886
60	15594.455	11925.391	12138.234	14708.361	11459.145	24546.652	9848.797	12126.248	15024.47	12017.822	18138.877	22186.27	14780.299	17172.773	13600.247	11187.589	16129.79	22060.586	16540.414	15714.846	15864.176	350.87244	357.48	394.8108	356.15497	363.20654	341.28766	356.97797	302.91467	251.23637	236.0673	-75.74986
61	12246.732	19471.574	16164.237	13505.752	12693.628	6496.051	20716.986	17950.494	12363.896	11800.436	9839.062	9357.044	15077.794	9438.205	14728.826	12145.391	12491.445	9213.804	9689.949	13118.317	13959.756	292.80234	295.48376	322.8818	288.89935	286.73846	257.5932	246.76654	243.56381	211.20255	203.74481	-75.30922
62	11390.383	11093.499	11182.863	16632.697	18110.807	18116.8	14471.88	10614.99	18093.871	18466.39	15745.629	17207.348	10943.416	13939.188	11942.553	8188.716	20298.041	15854.224	16055.924	12764.862	10751.357	397.44232	388.84656	410.71298	378.00046	372.75107	336.1555	336.27106	302.6433	264.4867	254.97348	-75.473434
63	7490.0405	23504.05	10423.257	9067.73	10953.272	11767.271	18413.844	14730.119	12473.946	12418.267	11861.883	17140.803	22824.312	20399.145	16259.337	22162.479	11236.926	8335.568	13518.779	9461.809	14394.6875	187.91542	225.48428	280.88928	236.87471	269.91318	256.314	256.1013	237.80841	214.02914	206.10274	-75.37157
64	18729.04	15353.916	10487.6	11578.255	6668.6514	9436.838	9865.38	12732.559	13846.828	11278.7	7385.376	10482.601	13050.809	13396.113	10159.387	18872.37	17202.936	11789.041	17755.838	18811.096	10684.163	290.87097	309.98383	342.54645	316.28723	349.04605	316.99304	314.66455	282.54526	226.84645	218.00488	-76.60444
65	9759.636	14624.621	8104.3516	17004.281	11237.568	22857.814	19597.06	14296.186	14438.064	19016.742	24802.744	19836.574	13480.055	15015.374	16839.178	13289.949	11615.67	17105.742	10610.152	10238.824	11454.904	328.614	331.68515	352.0566	330.00952	335.57993	315.1269	316.7094	292.53955	260.8045	252.1962	-75.687126
66	18854.326	12350.214	21252.799	11016.894	16280.346	12527.797	10704.0205	10248.192	15001.59	9560.468	6641.785	9747.664	13926.924	13262.323	12661.383	13635.741	19320.652	11467.311	20506.973	11340.254	16017.888	250.27348	275.1185	344.17926	278.99045	293.41153	280.5421	287.4848	251.64987	221.25053	209.01309	-75.500984
67	17331.379	11956.125	12155.704	13145.368	14727.422	11042.592	21645.803	8222.718	18639.36	12058.485	10866.986	11926.493	16260.577	19571.865	13423.033	13975.247	18046.566	9400.575	13243.023	13731.879	11253.076	332.14264	331.70142	383.46823	324.3138	322.2717	289.02026	283.0036	269.84473	233.51222	223.9876	-75.18821
68	14975.489	14312.461	11314.684	20431.797	16253.166	20640.922	26379.002	9672.213	11080.378	10826.034	8591.625	9971.898	15805.16	13295.705	17313.025	13713.414	11680.143	10364.18	13521.629	15915.729	13780.971	344.24026	340.9746	367.83734	331.26245	325.8459	303.6315	301.85526	276.42157	224.93808	214.24487	-74.82435
69	15562.217	17217.361	14784.4	17259.86	10959.27	8817.272	13734.761	9406.674	12121.438	15938.559	17845.727	11087.186	16236.481	17497.922	12655.866	23547.375	8255.939	17912.736	14737.848	13398.323	20449.496	273.97366	289.19046	338.77228	290.97537	305.96353	291.16794	283.06927	267.75458	230.47617	218.83282	-76.06889
70	13113.739	19891.93	10684.611	15756.715	12360.901	8016.2373	15389.304	10761.482	11490.157	19780.188	14656.566	16860.742	18700.145	15796.8125	8760.354	17769.05	8828.59	11466.37	11480.824	13750.672	19861.297	277.97565	287.18597	320.017	286.80127	293.36334	277.11234	269.80267	260.48148	224.76239	215.94113	-75.54781
71	13528.711	12011.222	11006.277	12460.166	15089.259	19871.377	14046.813	16639.043	16646.979	9799.656	11271.152	6558.824	9299.805	11987.5	16176.297	7297.2456	20687.018	17822.271	17136.896	14409.893	12114.713	297.89474	307.5105	351.5857	308.24332	313.63687	292.80386	301.99075	263.5515	224.48175	214.2391	-75.18263
72	12195.997	19439.79	8321.668	14735.008	16371.302	10132.449	11620.744	11544.56	11265.617	17583.72	12275.1	20260.29	14731.131	16554.064	11293.802	10973.975	9164.125	10265.398	11277.184	12657.447	11122.663	356.86908	342.22345	347.2991	333.0394	326.51053	307.48328	305.32062	282.99054	241.15894	233.18979	-75.27057
73	11046.572	20986.215	10169.216	23293.8	19394.182	18488.521	9328.522	15290.586	17429.854	10481.671	13625.406	18205.998	13516.163	13065.99	11649.572	14958.318	17197.406	9421.119	22017.14	12255.378	19618.34	355.34534	352.0342	356.68576	349.04547	350.13202	330.6963	337.62695	284.85797	247.04608	227.60855	-75.121826
74	14026.239	11614.074	14519.795	6883.33	14557.536	10173.678	21090.988	11981.819	10693.358	17783.342	13263.917	10860.729	14317.758	15708.732	20378.107	10914.066	11659.854	15756.745	9008.249	19371.758	8870.755	200.3543	230.42989	321.8907	239.02995	252.14069	241.44301	238.2215	233.85898	195.51636	193.4949	-75.75302
75	12091.086	9638.806	11501.91	10134.382	11106.922	17582.16	10649.109	11121.083	19609.998	7915.0366	7608.2964	11178.609	14800.145	15930.747	10757.398	13293.879	13303.201	15349.26	13688.744	19103.246	10771.8125	297.27963	315.61908	380.35358	316.9419	331.18005	315.22498	324.28894	287.73563	229.64818	217.49176	-75.48839
76	15030.03	22864.55	18948.475	17925.639	22635.896	10860.355	19738.73	14337.721	9289.683	22590.328	24347.686	15485.897	11985.693	12776.494	14981.902	15158.288	14706.173	13424.914	13224.838	9208.023	14353.386	363.41068	350.75	368.0666	334.71564	317.8704	285.9875	279.05457	260.1441	231.23834	224.79904	-75.52933
77	20648.287	16791.805	16018.728	17045.994	21180.22	12686.838	18040.94	12592.551	9331.976	18114.055	23181.135	11929.951	11502.271	12320.545	21049.855	13117.004	14056.342	15692.95	18284.002	9654.059	12843.171	323.51294	322.53018	354.77164	310.13535	304.55887	281.48346	279.04803	249.86539	220.93547	214.99347	-75.38183
